n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
46,20,0,0.0,0.0,0.0,0.0,0,0,0,1143,0,0.0,0.1304,0.06,0.2143,0.0,0.0,0.0,0.0,0.0,0.0,A4,v4_drop_self_loop,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,self_loop,12.0
30,20,5,0.25,0.3,0.2727,0.2759,14,1,1,2927,9,0.0031,0.2667,0.08,0.1579,0.1818,0.1818,0.1739,0.16,0.2625,0.2727,A1,base,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,13.9
30,20,0,0.0,0.0,0.0,0.0,0,0,0,20,0,0.0,0.2667,0.08,0.1579,0.0,0.0,0.0,0.0,0.0,0.0,A1,no_bfs,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,0.0
30,20,8,0.4,0.4,0.4,0.4444,16,1,1,3425,12,0.0035,0.2667,0.08,0.1579,0.1818,0.1818,0.1739,0.2609,0.3429,0.4,A1,no_rank,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,13.9
30,20,5,0.25,0.3333,0.2857,0.303,18,1,1,3518,10,0.0028,0.2667,0.08,0.1579,0.125,0.1176,0.1111,0.1,0.2286,0.2857,A1,bfs_q50,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,13.9
30,20,5,0.25,0.0333,0.0588,0.0599,17,4,0,2501,1,0.0004,0.2667,0.08,0.1579,0.0,0.0,0.0,0.0571,0.05,0.0588,A1,bfs_q90,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,13.0
30,20,8,0.4,0.4,0.4,0.4444,16,1,1,3425,12,0.0035,0.2667,0.08,0.1579,0.1818,0.1818,0.1739,0.2609,0.3429,0.4,A1,w100,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,14.0
30,20,4,0.2,0.1667,0.1818,0.1905,9,1,1,2927,5,0.0017,0.2667,0.08,0.1579,0.1818,0.1667,0.1538,0.1333,0.1846,0.1818,A1,w050,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,13.9
30,20,2,0.1,0.0667,0.08,0.08,20,7,0,2927,2,0.0007,0.2667,0.08,0.1579,0.0,0.0,0.0,0.0,0.05,0.08,A1,w000,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,13.9
30,20,8,0.4,0.4,0.4,0.4444,16,1,1,3425,12,0.0035,0.2667,0.08,0.1579,0.1818,0.1818,0.1739,0.2609,0.3429,0.4,A3,sort_cmax,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,13.9
30,20,9,0.45,0.4333,0.4415,0.4415,20,1,1,2351,13,0.0055,0.2667,0.08,0.1579,0.0645,0.0625,0.0606,0.0571,0.1333,0.4415,A3,sort_p95,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,14.0
30,20,0,0.0,0.0,0.0,0.0,0,0,0,501,0,0.0,0.0,0.0,0.0209,0.0,0.0,0.0,0.0,0.0,0.0,A4,v4_drop_log_deg,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,log_deg,13.3
30,20,2,0.1,0.1,0.1,0.1818,2,1,1,1009,3,0.003,0.0,0.0,0.0093,0.0645,0.1818,0.1739,0.16,0.1333,0.1,A4,v4_drop_out_in_ratio,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,out_in_ratio,13.4
30,20,5,0.25,0.3,0.2727,0.2759,14,1,1,2927,9,0.0031,0.2667,0.08,0.1579,0.1818,0.1818,0.1739,0.16,0.2625,0.2727,A4,v4_drop_nbr_type_div,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,nbr_type_div,14.1
30,20,0,0.0,0.0,0.0,0.0,0,0,0,1695,0,0.0,0.2667,0.08,0.3077,0.0,0.0,0.0,0.0,0.0,0.0,A4,v4_drop_self_loop,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,self_loop,13.7
35,20,4,0.2,0.4857,0.2833,0.6538,3,1,1,1176,17,0.0145,0.2857,0.1,0.2133,0.2051,0.5714,0.6538,0.5368,0.3709,0.2833,A1,base,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,14.2
35,20,0,0.0,0.0,0.0,0.0,0,0,0,20,0,0.0,0.2857,0.1,0.2133,0.0,0.0,0.0,0.0,0.0,0.0,A1,no_bfs,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,0.0
35,20,8,0.4,0.5429,0.4606,0.6538,3,1,1,2312,19,0.0082,0.2857,0.1,0.2133,0.4444,0.5417,0.6538,0.6044,0.6115,0.4606,A1,no_rank,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,14.1
35,20,5,0.25,0.5429,0.3423,0.5896,4,2,0,2209,19,0.0086,0.2857,0.1,0.2133,0.0,0.0541,0.5217,0.5368,0.3709,0.3423,A1,bfs_q50,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,14.1
35,12,1,0.0833,0.0286,0.0426,0.0465,8,8,0,668,1,0.0015,0.2857,0.1,0.2133,0.0,0.0,0.0,0.0,0.0444,,A1,bfs_q90,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,12.9
35,20,8,0.4,0.5429,0.4606,0.6538,3,1,1,2312,19,0.0082,0.2857,0.1,0.2133,0.4444,0.5417,0.6538,0.6044,0.6115,0.4606,A1,w100,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,14.1
35,20,3,0.15,0.4857,0.2292,0.5896,4,2,0,985,17,0.0173,0.2857,0.1,0.2133,0.0,0.186,0.5,0.5368,0.3709,0.2292,A1,w050,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,14.1
35,20,1,0.05,0.0286,0.0364,0.0385,17,17,0,607,1,0.0016,0.2857,0.1,0.2133,0.0,0.0,0.0,0.0,0.0,0.0364,A1,w000,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,14.1
35,20,8,0.4,0.5429,0.4606,0.6538,3,1,1,2312,19,0.0082,0.2857,0.1,0.2133,0.4444,0.5417,0.6538,0.6044,0.6115,0.4606,A3,sort_cmax,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,14.3
35,20,5,0.25,0.2286,0.2388,0.2508,18,5,0,990,8,0.0081,0.2857,0.1,0.2133,0.0,0.0,0.0,0.1455,0.1067,0.2388,A3,sort_p95,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,14.1
