n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,v4_dropped,runtime_s
8,18,3,0.1667,0.75,0.2727,0.6667,5,1,1,1045,6,0.0057,0.0,0.0,0.0059,0.4,0.3333,0.6452,0.6667,0.4286,,A4,v4_drop_nbr_type_div,identity+rate,rate,bin.7@400000,at400000,100,20,raw,17797,374995,nbr_type_div,0.6
8,20,4,0.2,0.75,0.3158,0.5455,2,1,1,1280,6,0.0047,0.0,0.0,0.0059,0.4,0.5455,0.48,0.3871,0.4054,0.3158,A4,v4_drop_self_loop,identity+rate,rate,bin.7@400000,at400000,100,20,raw,17797,374995,self_loop,0.6
13,20,2,0.1,0.8462,0.1789,0.8182,1,1,1,465,11,0.0237,0.0769,0.01,0.0909,0.8182,0.5806,0.7458,0.5432,0.3235,0.1789,A4,v4_drop_log_deg,TeRed+naive,dual_naive,bin.7@400000,at400000,100,20,raw,16272,324747,log_deg,0.5
13,10,3,0.3,0.8462,0.443,0.8182,2,1,1,724,11,0.0152,0.5385,0.07,0.2353,0.4706,0.8182,0.6792,0.507,0.443,,A4,v4_drop_out_in_ratio,TeRed+naive,dual_naive,bin.7@400000,at400000,100,20,raw,16272,324747,out_in_ratio,0.5
13,20,2,0.1,0.8462,0.1789,0.9167,2,1,1,474,11,0.0232,0.0769,0.01,0.1333,0.8182,0.9167,0.7458,0.5432,0.3235,0.1789,A4,v4_drop_nbr_type_div,TeRed+naive,dual_naive,bin.7@400000,at400000,100,20,raw,16272,324747,nbr_type_div,0.5
13,20,3,0.15,0.8462,0.2548,0.9167,3,1,1,665,11,0.0165,0.0769,0.01,0.1333,0.7,0.8182,0.9167,0.7021,0.443,0.2548,A4,v4_drop_self_loop,TeRed+naive,dual_naive,bin.7@400000,at400000,100,20,raw,16272,324747,self_loop,0.5
13,20,2,0.1,0.8462,0.1789,0.8182,1,1,1,471,11,0.0234,0.0769,0.01,0.0909,0.8182,0.5806,0.7458,0.5432,0.3235,0.1789,A4,v4_drop_log_deg,TeRed+RATE,rate,bin.7@400000,at400000,100,20,raw,16272,324747,log_deg,0.5
13,9,3,0.3333,0.8462,0.4783,0.7952,4,1,1,629,11,0.0175,0.7692,0.1,0.2791,0.7,0.5185,0.6792,0.7021,,,A4,v4_drop_out_in_ratio,TeRed+RATE,rate,bin.7@400000,at400000,100,20,raw,16272,324747,out_in_ratio,0.5
13,20,3,0.15,0.8462,0.2548,0.9167,3,1,1,475,11,0.0232,0.0769,0.01,0.1333,0.6316,0.7619,0.9167,0.7021,0.443,0.2548,A4,v4_drop_nbr_type_div,TeRed+RATE,rate,bin.7@400000,at400000,100,20,raw,16272,324747,nbr_type_div,0.5
13,20,3,0.15,0.8462,0.2548,0.9167,3,1,1,475,11,0.0232,0.0769,0.01,0.1333,0.6316,0.7619,0.9167,0.7021,0.443,0.2548,A4,v4_drop_self_loop,TeRed+RATE,rate,bin.7@400000,at400000,100,20,raw,16272,324747,self_loop,0.5
